Date,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM
2016-01-01 00:00:00,25.75,23.15,7.2,1016.55,-0.4,8.0,4.0,0.6,11.0
2016-01-01 00:15:00,25.895833333333332,23.120833333333334,7.2,1016.6208333333334,-0.39166666666666666,8.0,4.0,0.6,11.083333333333334
2016-01-01 00:30:00,26.041666666666668,23.09166666666667,7.2,1016.6916666666667,-0.3833333333333333,8.0,4.0,0.6,11.166666666666666
2016-01-01 00:45:00,26.1875,23.0625,7.2,1016.7625,-0.375,8.0,4.0,0.6,11.25
2016-01-01 01:00:00,26.333333333333332,23.033333333333335,7.2,1016.8333333333334,-0.3666666666666667,8.0,4.0,0.6,11.333333333333334
2016-01-01 01:15:00,26.479166666666668,23.004166666666666,7.2,1016.9041666666667,-0.35833333333333334,8.0,4.0,0.6,11.416666666666666
2016-01-01 01:30:00,26.625,22.975,7.2,1016.975,-0.35,8.0,4.0,0.6,11.5
2016-01-01 01:45:00,26.770833333333332,22.945833333333333,7.2,1017.0458333333333,-0.3416666666666667,8.0,4.0,0.6,11.583333333333334
2016-01-01 02:00:00,26.916666666666668,22.916666666666668,7.2,1017.1166666666667,-0.33333333333333337,8.0,4.0,0.6,11.666666666666666
2016-01-01 02:15:00,27.0625,22.8875,7.2,1017.1875,-0.325,8.0,4.0,0.6,11.75
2016-01-01 02:30:00,27.208333333333332,22.858333333333334,7.2,1017.2583333333333,-0.31666666666666665,8.0,4.0,0.6,11.833333333333334
2016-01-01 02:45:00,27.354166666666668,22.829166666666666,7.2,1017.3291666666667,-0.30833333333333335,8.0,4.0,0.6,11.916666666666666
2016-01-01 03:00:00,27.5,22.8,7.2,1017.4,-0.3,8.0,4.0,0.6,12.0
2016-01-01 03:15:00,27.558333333333334,22.908333333333335,7.5,1017.175,-0.5,7.916666666666667,3.9166666666666665,0.6,12.0
2016-01-01 03:30:00,27.616666666666667,23.016666666666666,7.800000000000001,1016.95,-0.7000000000000001,7.833333333333333,3.8333333333333335,0.6,12.0
2016-01-01 03:45:00,27.675,23.125,8.1,1016.725,-0.9000000000000001,7.75,3.75,0.6,12.0
2016-01-01 04:00:00,27.733333333333334,23.233333333333334,8.4,1016.5,-1.1,7.666666666666667,3.6666666666666665,0.6,12.0
2016-01-01 04:15:00,27.791666666666668,23.34166666666667,8.700000000000001,1016.275,-1.3000000000000003,7.583333333333333,3.5833333333333335,0.6,12.0
2016-01-01 04:30:00,27.85,23.450000000000003,9.0,1016.05,-1.5000000000000002,7.5,3.5,0.6,12.0
2016-01-01 04:45:00,27.90833333333333,23.558333333333334,9.3,1015.825,-1.7000000000000004,7.416666666666667,3.416666666666667,0.6,12.0
2016-01-01 05:00:00,27.966666666666665,23.666666666666668,9.600000000000001,1015.6,-1.9000000000000004,7.333333333333333,3.3333333333333335,0.6,12.0
2016-01-01 05:15:00,28.025,23.775000000000002,9.9,1015.375,-2.1,7.25,3.25,0.6,12.0
2016-01-01 05:30:00,28.083333333333332,23.883333333333333,10.200000000000001,1015.1500000000001,-2.3000000000000003,7.166666666666667,3.166666666666667,0.6,12.0
2016-01-01 05:45:00,28.141666666666666,23.991666666666667,10.5,1014.9250000000001,-2.5000000000000004,7.083333333333333,3.0833333333333335,0.6,12.0
2016-01-01 06:00:00,28.2,24.1,10.8,1014.7,-2.7,7.0,3.0,0.6,12.0
2016-01-01 06:15:00,28.266666666666666,24.075000000000003,10.8,1014.7083333333334,-2.466666666666667,7.0,3.0,0.6,12.0
2016-01-01 06:30:00,28.333333333333332,24.05,10.8,1014.7166666666667,-2.2333333333333334,7.0,3.0,0.6,12.0
2016-01-01 06:45:00,28.4,24.025000000000002,10.8,1014.725,-2.0,7.0,3.0,0.6,12.0
2016-01-01 07:00:00,28.466666666666665,24.0,10.8,1014.7333333333333,-1.7666666666666666,7.0,3.0,0.6,12.0
2016-01-01 07:15:00,28.53333333333333,23.975,10.8,1014.7416666666667,-1.5333333333333334,7.0,3.0,0.6,12.0
2016-01-01 07:30:00,28.6,23.950000000000003,10.8,1014.75,-1.3,7.0,3.0,0.6,12.0
2016-01-01 07:45:00,28.666666666666668,23.925,10.8,1014.7583333333333,-1.0666666666666667,7.0,3.0,0.6,12.0
2016-01-01 08:00:00,28.733333333333334,23.900000000000002,10.8,1014.7666666666667,-0.8333333333333333,7.0,3.0,0.6,12.0
2016-01-01 08:15:00,28.8,23.875,10.8,1014.775,-0.6000000000000001,7.0,3.0,0.6,12.0
2016-01-01 08:30:00,28.866666666666667,23.85,10.8,1014.7833333333333,-0.3666666666666667,7.0,3.0,0.6,12.0
